"pub_date","snippet"
"2016-01-01T00:25:44+0000","bill cosbi came close escap sexual assault charg mani other"
"2016-01-01T00:32:23+0000","court document made public thursday suggest defens lawyer will argu mr gray alreadi injur load baltimor polic van"
"2016-01-01T00:45:44+0000","averag tax rate america’ top 400 incom earner rose 2013 tax analyst said tax structur still overwhelm favor welloff"
"2016-01-01T00:53:02+0000","led quarterback deshaun watson tiger defeat fourthseed oklahoma first colleg footbal playoff semifin"
"2016-01-01T00:59:43+0000","feder judg warn prosecutor may go far ask wit keep quiet receiv subpoena"
"2016-01-01T01:06:43+0000","william ackman’ hedg fund said regulatori file stake now 85 percent 99 percent drug compani draw fire sever front"
"2016-01-01T01:08:26+0000","look govern servic new york new jersey connecticut will affect"
"2016-01-01T01:27:28+0000","davi mourn mother earn gold medal 1976 montreal olymp 100 victori amateur never won world titl"
"2016-01-01T01:42:48+0000","can greater defens erect home vault stilt time communiti pack leav"
"2016-01-01T01:45:00+0000","depend ask fault state bridg park 2 lie flaw zone communic breakdown jehovah’ wit promis fix never"
"2016-01-01T01:49:44+0000","sport team rare win fan dog support academ tri unravel psycholog quagmir"
"2016-01-01T01:55:17+0000","red storm drop big east confer open thursday still mullin st john’ basketbal legend turn firstyear coach see sign improv"
"2016-01-01T01:58:54+0000","legal expert said road convict fill signific hurdl includ lack forens evid relat decadeold alleg woman center case"
"2016-01-01T02:01:33+0000","start new year right foot hike shadow lake guid bird tour bronx anoth recreat activ"
"2016-01-01T02:09:11+0000","new year approach thursday polic munich evacu two train station warn resid avoid larg group cite “concret hints” possibl attack"
"2016-01-01T02:10:12+0000","comedian kathleen madigan will perform jan 7 730 pm bushnel center perform art"
"2016-01-01T02:22:21+0000","cultur event long island includ even champion storytel lesley goshko michel carlo “dreamgirls” perform east islip"
"2016-01-01T02:26:01+0000","“secret war” drama set nazioccupi netherland direct denni bot will shown month summit free public librari"
"2016-01-01T02:34:09+0000","approv contract includ 11 percent rais seven year measur enabl effici prosecut inmat assault offic riker island"
"2016-01-01T02:38:09+0000","two profession women’ team face first time nhl’s marque regularseason event"
"2016-01-01T03:00:57+0000","welcom first crossword puzzl 2016 live themeless puzzl david steinberg"
"2016-01-01T03:02:24+0000","hugo galindo plan watch ball drop time squar earli thursday morn beaten stab just block home"
"2016-01-01T03:21:06+0000","new year’ eve celebr sparkl across globe"
"2016-01-01T03:47:40+0000","mr roger show just first three 11 season armi surgeon trapper john run charact especi rever show devote"
"2016-01-01T03:55:37+0000","three adult kill three other sever injur tractortrail struck suv ici highway polic said"
"2016-01-01T04:41:17+0000","jake coker threw 286 yard two touchdown 2 crimson tide crush 3 michigan state second blowout colleg footbal playoff semifin new year’ eve"
"2016-01-01T04:42:31+0000","major citi across east asia downtrodden peopl better place sleep made 24hour mcdonald’ restaur overnight home"
"2016-01-01T05:08:06+0000","lineup includ classic like “” proceed light fare “ hangover” “blade glory”"
"2016-01-01T06:44:59+0000","correct appear print friday januari 1 2016"
"2016-01-01T06:45:01+0000","quotat day friday januari 1 2016"
"2016-01-01T08:20:04+0000","reader react charg tv star drug sexual abus pennsylvania woman"
"2016-01-01T08:20:04+0000","polic shoot necessari just “reasonable”"
"2016-01-01T08:20:08+0000","superrich live realiti ’s problem monstrous selfcent influenc elect polici"
"2016-01-01T08:20:08+0000","haitian activist call aid help desper peopl camp"
"2016-01-01T08:20:08+0000","women’ studi professor note coerc serv prostitut japanes soldier world war ii yet adult"
"2016-01-01T08:20:08+0000","reader discuss ope essay “ revolutionari jesus’ birth ”"
"2016-01-01T08:20:08+0000","state enact new law line gun right civilian safeti get confus"
"2016-01-01T08:20:09+0000","weve look wors"
"2016-01-01T08:20:21+0000","gambl econom boon long island want far away live work shop"
"2016-01-01T08:20:22+0000","doha talk dead world leader need start think differ global trade system"
"2016-01-01T09:21:33+0000","north korean leader’ new year’ address offer surpris suggest dialogu south develop new mean attack"
"2016-01-01T09:59:28+0000","new york public library’ erotica collect yes one includ seedi time squar ephemera earli transgend magazin copi playboy"
"2016-01-01T10:00:05+0000","second year declin demonstr project reduc traffic fatal work said safeti advoc call mayor expand effort"
"2016-01-01T10:00:23+0000","hundr work new york public librari consid hot general reader handl now avail adult librari card"
"2016-01-01T11:00:16+0000","test knowledg week’ health news"
"2016-01-01T11:01:05+0000","snail mail one confus enchant aspect life new countri"
"2016-01-01T11:41:04+0000","cost man white beard kept away men black beard"
"2016-01-01T11:51:09+0000","il fallait à tout prix chasser le barbu blanc des parag des barb noir"
"2016-01-01T12:00:03+0000","recal wait favorit dish life away war"
"2016-01-01T12:00:05+0000","ignor mundan call notic circadian rhythm crime live"
"2016-01-01T12:00:08+0000","reader react"
"2016-01-01T12:00:08+0000","select natasha trethewey"
"2016-01-01T12:00:09+0000","pamela paul editor new york time book review provid insight topic often piqu readers’ interest"
"2016-01-01T13:00:21+0000","studi show polit prefer shape peopl perceiv realiti small sum can help correct bias"
"2016-01-01T13:00:23+0000","well item cleans system — make room good vibe health 2016"
"2016-01-01T13:05:30+0000","effort aim “cool ” skyscrap continu smoke billow lower portion long fire broke govern said"
"2016-01-01T13:23:43+0000","offici said receiv “ concret tip” plan attack reopen two transit hub evacu"
"2016-01-01T13:29:51+0000","select web gem also includ look jail popul grow"
"2016-01-01T13:30:03+0000","short poem hear french arab subway car short pari attack"
"2016-01-01T13:49:00+0000","first messag 2016 said apathi “creat barrier suspicion fear closure” call peopl open heart need other"
"2016-01-01T14:00:05+0000","blockbust like “star war forc awakens” “mad max furi road” deliv much year’ best cinema oscar wait"
"2016-01-01T14:00:24+0000","streetcar system’ first year resid often describ somewher disastr vagu satisfactori free"
"2016-01-01T14:24:05+0000","intern herald tribun archiv steamship bombay torpedo 1916"
"2016-01-01T14:24:14+0000","time report daniel victor aim record onesecond video everi day 2015 patch togeth use app"
"2016-01-01T14:28:52+0000","rapidfir look back 365 moment daytoday life power experi"
"2016-01-01T14:34:52+0000","film zhang xiaotao tri show intens pressur achiev wealth success modern china soul"
"2016-01-01T14:37:23+0000","intens manhunt underway man open fire pack commerci street"
"2016-01-01T14:38:53+0000","two decad fail attempt track visitor offici call visa program critic nation secur weak"
"2016-01-01T14:39:16+0000","renaiss painter solo show florenc calligraphi artist’ work goe display kanazawa japan interdisciplinari festiv run sydney australia"
"2016-01-01T15:22:43+0000","clemson will tri becom first 150 team fbs histori alabama chase fourth titl seven year"
"2016-01-01T15:29:15+0000","ever missouri flood show communiti continu ignor hydrolog realiti"
"2016-01-01T15:40:24+0000","intern herald tribun archiv italianown airlin keep fli south america 1941"
"2016-01-01T15:45:36+0000","now 87 artist seen interest increas work find evanesc everyday"
"2016-01-01T16:01:27+0000","modern art roar old master young star lost valu"
"2016-01-01T16:05:29+0000","thursday’ win clemson coach dabo swinney said “’re go natty” mean say “ colleg footbal playoff nation championship”"
"2016-01-01T16:08:54+0000","presid obama will meet attorney general loretta e lynch monday discuss can curb gun violenc sidestep entrench congress"
